ROI_Num_Power2013,X,Y,Z,Participation_Coefficient,Community_Density,Implicated_in_Dyslexia,In_Maisog2008,In_Richlan2009,In_Paulesu2014
181,-16,-65,-20,1.43,0.0,0,0,0,0
182,-18,-76,-24,3.58,0.0,0,0,0,0
183,-32,-55,-25,2.04,10.2,0,0,0,0
184,22,-58,-23,0.61,0.0,0,0,0,0
185,1,-62,-18,0.85,0.0,0,0,0,0
186,33,-12,-34,0.0,6.7,0,0,0,0
187,-31,-10,-36,0.36,7.8,0,0,0,0
188,-50,-7,-39,0.0,5.1,0,0,0,0
189,40,-72,14,1.26,9.7,0,0,0,0
190,8,-72,11,0.19,5.3,0,0,0,0
191,-8,-81,7,0.22,3.8,0,0,0,0
192,-28,-79,19,2.17,12.2,0,0,0,0
193,20,-66,2,0.04,4.3,0,0,0,0
194,-24,-91,19,0.64,4.5,0,0,0,0
195,27,-59,-9,0.43,5.3,0,0,0,0
196,-15,-72,-8,0.0,3.9,0,0,0,0
197,-18,-68,5,0.36,4.8,0,0,0,0
198,-14,-91,31,0.32,3.9,0,0,0,0
199,15,-87,37,0.31,5.2,0,0,0,0
200,29,-77,25,1.59,7.3,0,0,0,0
201,20,-86,-2,0.0,4.7,0,0,0,0
202,15,-77,31,0.0,8.6,0,0,0,0
203,-16,-52,-1,0.32,6.9,0,0,0,0
204,24,-87,24,0.62,4.2,0,0,0,0
205,6,-72,24,3.72,8.9,0,0,0,0
206,-16,-77,34,0.92,13.1,0,0,0,0
207,-3,-81,21,0.12,5.3,1,1,0,0
208,6,-81,6,0.06,4.2,0,0,0,0
209,18,-47,-10,0.92,9.8,0,0,0,0
210,26,-79,-16,0.0,6.3,0,0,0,0
211,43,-78,-12,0.91,6.8,0,0,0,0
212,42,-66,-8,2.34,8.2,0,0,0,0
213,-40,-88,-6,0.29,7.7,0,0,0,0
214,37,-84,13,1.65,4.9,0,0,0,0
215,-26,-90,3,0.3,5.8,0,0,0,0
216,37,-81,1,0.95,4.3,0,0,0,0
217,-47,-76,-10,2.06,14.3,0,0,0,0
218,-42,-74,0,4.36,8.3,0,0,0,0
219,-33,-79,-13,0.06,8.5,0,0,0,0
220,8,-91,-7,0.53,7.9,0,0,0,0
221,17,-91,-14,0.0,7.8,0,0,0,0
222,-25,-98,-12,0.0,11.2,0,0,0,0
223,-12,-95,-13,1.0,10.8,1,0,1,0
224,25,-58,60,5.76,10.2,0,0,0,0
225,8,41,-24,0.0,7.7,0,0,0,0
226,22,-65,48,5.79,15.6,0,0,0,0
227,-42,-60,-9,5.35,12.3,1,1,1,1
228,-39,51,17,3.72,11.9,0,0,0,0
229,48,25,27,1.0,9.0,0,0,0,0
230,47,10,33,2.65,12.6,0,0,0,0
231,-41,6,33,2.69,8.2,0,0,0,0
232,-42,38,21,3.35,7.7,0,0,0,0
233,-47,11,23,3.74,12.2,0,0,0,0
234,-34,55,4,3.9,11.8,0,0,0,0
235,-42,45,-2,3.33,11.1,0,0,0,0
236,43,49,-2,3.73,13.2,0,0,0,0
237,-42,25,30,2.01,8.5,0,0,0,0
238,-27,-71,37,4.48,16.2,0,0,0,0
239,-28,-58,48,2.62,8.6,0,0,0,0
240,-23,11,64,3.27,17.5,0,0,0,0
241,-3,26,44,4.58,13.2,0,0,0,0
242,38,43,15,3.0,7.7,0,0,0,0
243,49,-42,45,2.78,8.6,0,0,0,0
244,44,-53,47,2.13,9.0,0,0,0,0
245,32,14,56,4.48,10.9,0,0,0,0
246,-53,-49,43,3.07,13.7,1,0,1,1
247,37,-65,40,3.99,12.4,0,0,0,0
248,-42,-55,45,4.17,8.4,0,0,0,0
249,33,-53,44,3.4,10.8,0,0,0,0
250,55,-45,37,4.47,13.4,0,0,0,0
251,58,-53,-14,2.04,12.3,0,0,0,0
252,34,54,-13,0.0,8.0,0,0,0,0
253,-44,2,46,3.89,17.5,1,0,0,1
254,24,45,-15,1.04,8.6,0,0,0,0
255,-21,41,-20,1.99,7.8,0,0,0,0
256,24,32,-18,0.0,8.2,0,0,0,0
257,-33,-46,47,5.32,9.1,0,0,0,0
258,-47,-51,-21,1.66,11.6,1,0,1,1
259,-32,-1,54,4.46,18.7,0,0,0,0
260,-37,-29,-26,0.0,7.9,1,0,1,0
261,-56,-45,-24,0.0,4.8,1,1,0,0
262,10,-62,61,3.92,14.7,0,0,0,0
263,52,-34,-27,0.0,4.1,1,1,0,0
264,55,-31,-17,0.0,9.0,0,0,0,0
